nohup: ignoring input
Sanity check …
  encoded  : torch.Size([2, 16, 64, 64])  mean=0.0050  var=0.9960
  logits   : torch.Size([2, 256])
  atk grad : 7.65e-06  ✓
  L_bit    : 0.7045  L_amp : 0.0000
  Acc      : 47.3%  α=0.500
Sanity check passed ✓

Device     : cuda
Parameters : 2,757,297
Warmup     : 200 epochs (no attack)
Save dir   : ./weights/
============================================================================
    Ep    Loss  L_bit  L_mean  L_var  L_amp    Acc%      α   atk
============================================================================
     1  0.7000 0.6995 0.00000 0.0000 0.0000  50.20% 0.4990 0.000 ★
     7  0.6972 0.6977 0.00000 0.0000 0.0000  50.38% 0.4948 0.000 ★
    16  0.6948 0.6940 0.00000 0.0000 0.0000  50.85% 0.4905 0.000 ★
    56  0.6942 0.6936 0.00000 0.0000 0.0000  51.06% 0.5270 0.000 ★
    61  0.6932 0.6929 0.00002 0.0000 0.0000  51.27% 0.5354 0.000 ★
    62  0.6920 0.6907 0.00001 0.0000 0.0000  51.65% 0.5372 0.000 ★
    63  0.6917 0.6928 0.00004 0.0000 0.0000  52.15% 0.5389 0.000 ★
    64  0.6911 0.6916 0.00026 0.0001 0.0000  52.32% 0.5407 0.000 ★
    65  0.6893 0.6889 0.00012 0.0001 0.0000  53.46% 0.5424 0.000 ★
    66  0.6887 0.6885 0.00006 0.0001 0.0001  53.73% 0.5440 0.000 ★
    67  0.6877 0.6866 0.00017 0.0000 0.0001  54.45% 0.5456 0.000 ★
    68  0.6864 0.6858 0.00004 0.0000 0.0001  54.61% 0.5468 0.000 ★
    69  0.6865 0.6850 0.00023 0.0001 0.0003  54.65% 0.5470 0.000 ★
    70  0.6849 0.6846 0.00001 0.0000 0.0002  55.02% 0.5469 0.000 ★
    71  0.6833 0.6829 0.00020 0.0000 0.0003  55.54% 0.5463 0.000 ★
    72  0.6832 0.6814 0.00006 0.0000 0.0003  56.12% 0.5456 0.000 ★
    73  0.6810 0.6816 0.00006 0.0000 0.0002  56.34% 0.5446 0.000 ★
    74  0.6809 0.6814 0.00014 0.0000 0.0003  56.38% 0.5435 0.000 ★
    76  0.6796 0.6799 0.00013 0.0000 0.0002  56.79% 0.5413 0.000 ★
    79  0.6788 0.6768 0.00007 0.0000 0.0002  56.88% 0.5375 0.000 ★
    80  0.6781 0.6776 0.00003 0.0000 0.0002  57.04% 0.5362 0.000 ★
    81  0.6763 0.6747 0.00005 0.0000 0.0001  57.58% 0.5350 0.000 ★
    84  0.6741 0.6748 0.00001 0.0000 0.0001  57.79% 0.5316 0.000 ★
    86  0.6742 0.6753 0.00002 0.0000 0.0000  57.94% 0.5298 0.000 ★
    87  0.6720 0.6726 0.00000 0.0000 0.0000  58.40% 0.5291 0.000 ★
    89  0.6703 0.6704 0.00001 0.0000 0.0000  58.57% 0.5280 0.000 ★
    90  0.6699 0.6698 0.00002 0.0000 0.0000  58.72% 0.5276 0.000 ★
    91  0.6687 0.6669 0.00001 0.0000 0.0000  59.28% 0.5274 0.000 ★
    92  0.6679 0.6691 0.00002 0.0000 0.0000  59.38% 0.5272 0.000 ★
    93  0.6674 0.6658 0.00001 0.0000 0.0001  59.51% 0.5271 0.000 ★
    94  0.6657 0.6647 0.00001 0.0000 0.0000  59.93% 0.5270 0.000 ★
    97  0.6636 0.6632 0.00000 0.0000 0.0001  60.10% 0.5268 0.000 ★
    98  0.6617 0.6611 0.00001 0.0000 0.0001  60.55% 0.5266 0.000 ★
    99  0.6619 0.6631 0.00000 0.0000 0.0001  60.80% 0.5264 0.000 ★
   100  0.6603 0.6602 0.00000 0.0000 0.0001  60.88% 0.5263 0.000 ★
   102  0.6582 0.6595 0.00007 0.0000 0.0001  61.22% 0.5258 0.000 ★
   103  0.6578 0.6583 0.00000 0.0000 0.0001  61.36% 0.5254 0.000 ★
   105  0.6556 0.6568 0.00000 0.0000 0.0001  61.92% 0.5243 0.000 ★
   107  0.6530 0.6518 0.00004 0.0000 0.0001  62.39% 0.5226 0.000 ★
   111  0.6500 0.6501 0.00001 0.0000 0.0001  62.64% 0.5195 0.000 ★
   112  0.6508 0.6522 0.00005 0.0000 0.0001  62.81% 0.5188 0.000 ★
   113  0.6490 0.6468 0.00000 0.0000 0.0001  62.98% 0.5182 0.000 ★
   115  0.6455 0.6451 0.00001 0.0000 0.0001  63.09% 0.5171 0.000 ★
   116  0.6451 0.6450 0.00001 0.0000 0.0001  63.38% 0.5167 0.000 ★
   118  0.6424 0.6427 0.00000 0.0000 0.0001  63.53% 0.5159 0.000 ★
   119  0.6414 0.6426 0.00001 0.0000 0.0001  63.88% 0.5156 0.000 ★
   122  0.6401 0.6427 0.00001 0.0000 0.0001  63.95% 0.5147 0.000 ★
   123  0.6390 0.6393 0.00007 0.0000 0.0001  64.32% 0.5143 0.000 ★
   127  0.6357 0.6342 0.00000 0.0000 0.0000  64.48% 0.5123 0.000 ★
   128  0.6357 0.6330 0.00002 0.0000 0.0000  64.77% 0.5119 0.000 ★
   129  0.6331 0.6367 0.00000 0.0000 0.0000  65.14% 0.5114 0.000 ★
   134  0.6285 0.6264 0.00002 0.0000 0.0000  65.34% 0.5104 0.000 ★
   136  0.6283 0.6283 0.00000 0.0000 0.0000  65.76% 0.5105 0.000 ★
   139  0.6257 0.6207 0.00002 0.0000 0.0000  66.05% 0.5110 0.000 ★
   141  0.6235 0.6233 0.00003 0.0000 0.0000  66.49% 0.5115 0.000 ★
   146  0.6209 0.6224 0.00000 0.0000 0.0001  66.50% 0.5132 0.000 ★
   148  0.6181 0.6182 0.00000 0.0000 0.0001  66.65% 0.5136 0.000 ★
   149  0.6174 0.6178 0.00001 0.0000 0.0001  67.00% 0.5138 0.000 ★
   151  0.6169 0.6188 0.00000 0.0000 0.0001  67.08% 0.5138 0.000 ★
   152  0.6145 0.6142 0.00000 0.0000 0.0001  67.21% 0.5138 0.000 ★
   154  0.6124 0.6107 0.00000 0.0000 0.0001  67.62% 0.5136 0.000 ★
   159  0.6074 0.6062 0.00000 0.0000 0.0001  68.05% 0.5132 0.000 ★
   160  0.6083 0.6079 0.00001 0.0000 0.0001  68.12% 0.5132 0.000 ★
   162  0.6072 0.6063 0.00001 0.0000 0.0001  68.23% 0.5133 0.000 ★
   164  0.6048 0.6025 0.00000 0.0000 0.0001  68.43% 0.5134 0.000 ★
   166  0.6028 0.6030 0.00001 0.0000 0.0001  68.52% 0.5135 0.000 ★
   169  0.5996 0.6018 0.00002 0.0000 0.0001  68.83% 0.5134 0.000 ★
   170  0.5987 0.5965 0.00003 0.0000 0.0001  69.17% 0.5134 0.000 ★
   175  0.5961 0.5960 0.00002 0.0000 0.0001  69.34% 0.5133 0.000 ★
   176  0.5941 0.5939 0.00003 0.0000 0.0001  69.67% 0.5132 0.000 ★
