nohup: ignoring input
Sanity check …
  encoded  : torch.Size([2, 16, 64, 64])  mean=0.0000  var=1.0000
  logits   : torch.Size([2, 256])
  atk grad : 1.15e-05  ✓
  L_bit    : 0.6963  L_amp : 0.0000
  Acc      : 54.3%
Sanity check passed ✓

Device     : cuda
Parameters : 2,757,297
Warmup     : 1000 epochs (no attack)
Save dir   : ./weights/
============================================================================
    Ep    Loss  L_bit  L_amp    Acc%      α   atk
============================================================================
  1979  0.2055 0.1588 0.0141  94.77% 0.2500 0.068 ★
  1998  0.2049 0.1460 0.0142  94.80% 0.2500 0.070 ★
  2000  0.2297 0.1786 0.0143  93.67% 0.2500 0.070
  2024  0.2002 0.1432 0.0145  94.85% 0.2500 0.072 ★
  2030  0.2027 0.1400 0.0142  94.92% 0.2500 0.072 ★
  2064  0.1952 0.1472 0.0142  95.01% 0.2500 0.074 ★
  2089  0.1982 0.1463 0.0141  95.02% 0.2500 0.076 ★
  2098  0.1938 0.1417 0.0143  95.11% 0.2500 0.077 ★
  2100  0.2189 0.1796 0.0143  94.06% 0.2500 0.077
  2108  0.1852 0.1331 0.0140  95.41% 0.2500 0.077 ★
  2125  0.1833 0.1366 0.0140  95.45% 0.2500 0.079 ★
  2180  0.1845 0.1376 0.0139  95.53% 0.2500 0.083 ★
  2187  0.1783 0.1358 0.0138  95.59% 0.2500 0.083 ★
  2200  0.1817 0.1393 0.0135  95.46% 0.2500 0.084
  2237  0.1749 0.1334 0.0137  95.68% 0.2500 0.087 ★
  2240  0.1743 0.1290 0.0137  95.76% 0.2500 0.087 ★
  2290  0.1698 0.1318 0.0137  95.88% 0.2500 0.090 ★
  2300  0.1844 0.1351 0.0139  95.32% 0.2500 0.091
  2351  0.1688 0.1232 0.0133  95.94% 0.2500 0.095 ★
  2357  0.1618 0.1242 0.0138  96.26% 0.2500 0.095 ★
  2400  0.1634 0.1205 0.0134  96.07% 0.2500 0.098
  2463  0.1606 0.1149 0.0133  96.26% 0.2500 0.102 ★
  2472  0.1568 0.1149 0.0133  96.32% 0.2500 0.103 ★
  2475  0.1584 0.1189 0.0133  96.33% 0.2500 0.103 ★
  2500  0.1563 0.1133 0.0135  96.33% 0.2500 0.105 ★
  2509  0.1543 0.1193 0.0132  96.35% 0.2500 0.106 ★
  2510  0.1544 0.1136 0.0132  96.43% 0.2500 0.106 ★
  2511  0.1522 0.1152 0.0132  96.47% 0.2500 0.106 ★
  2542  0.1494 0.1174 0.0133  96.54% 0.2500 0.108 ★
  2571  0.1496 0.1112 0.0130  96.55% 0.2500 0.110 ★
  2600  0.1599 0.1303 0.0134  96.11% 0.2500 0.112
  2602  0.1472 0.1203 0.0135  96.59% 0.2500 0.112 ★
  2628  0.1455 0.1131 0.0130  96.77% 0.2500 0.114 ★
  2640  0.1443 0.1193 0.0132  96.78% 0.2500 0.115 ★
  2668  0.1395 0.1018 0.0131  96.88% 0.2500 0.117 ★
  2697  0.1406 0.0974 0.0131  96.88% 0.2500 0.119 ★
  2700  0.1494 0.1263 0.0131  96.52% 0.2500 0.119
  2703  0.1363 0.1005 0.0128  96.98% 0.2500 0.119 ★
  2731  0.1359 0.0971 0.0129  97.02% 0.2500 0.121 ★
  2764  0.1304 0.0914 0.0127  97.07% 0.2500 0.123 ★
  2800  0.1487 0.1236 0.0128  96.42% 0.2500 0.126
  2803  0.1297 0.0950 0.0128  97.11% 0.2500 0.126 ★
  2806  0.1317 0.0979 0.0128  97.18% 0.2500 0.126 ★
  2845  0.1244 0.0853 0.0129  97.34% 0.2500 0.129 ★
  2875  0.1228 0.0918 0.0125  97.48% 0.2500 0.131 ★
